source,target,occurrences,origin_count,origins,article_count,glossary_like,ambiguous,ambiguous_targets,recommended_strategy,recommended_for_yaml
BUILDCRAFTING,配装,1,1,strong,1,yes,no,配装,force,yes
Bully SMG,恶霸冲锋枪,1,1,strong,1,yes,no,恶霸冲锋枪,force,yes
Bungie Rewards [1.20] Felini Plush,Bungie奖励[1.20]费利尼毛绒玩具,1,1,strong,1,yes,no,Bungie奖励[1.20]费利尼毛绒玩具,force,yes
Bungie Rewards [1.20] Notorious T-Shirt,Bungie奖励[1.20]恶名远扬T恤,1,1,strong,1,yes,no,Bungie奖励[1.20]恶名远扬T恤,force,yes
C.A.R.R.I Armory,C.A.R.R.I.军械库,1,1,h3,1,yes,no,C.A.R.R.I.军械库,force,yes
C.A.R.R.I. Armory,C.A.R.R.I.军械库,1,1,strong,1,yes,no,C.A.R.R.I.军械库,force,yes
Castle Doctrine (Passive):,城堡原则（被动技能）：,1,1,strong,1,yes,no,城堡原则（被动技能）：,force,yes
Chaos Theory,混沌理论,1,1,strong,1,yes,no,混沌理论,force,yes
Clear-Eyed Lens,清视镜片,1,1,strong,1,yes,no,清视镜片,force,yes
Client Security,客户端安全,1,1,h3,1,yes,no,客户端安全,force,yes
Cloudfeather Belt,云羽弹链,1,1,strong,1,yes,no,云羽弹链,force,yes
Cloudfeather Chamber,云羽弹膛,1,1,strong,1,yes,no,云羽弹膛,force,yes
Cold Vigilance Scope,冷峻警戒瞄准镜,1,1,strong,1,yes,no,冷峻警戒瞄准镜,force,yes
COMBAT,战斗,1,1,strong,1,yes,no,战斗,force,yes
Combat Mag,战斗弹匣,1,1,strong,1,yes,no,战斗弹匣,force,yes
Compartmental Mag,分舱弹匣,1,1,strong,1,yes,no,分舱弹匣,force,yes
Compression Chamber,压缩弹膛,1,1,strong,1,yes,no,压缩弹膛,force,yes
Connection Recovery,连接恢复,1,1,h3,1,yes,no,连接恢复,force,yes
Copperhead RF,铜斑蛇速射,1,1,strong,1,yes,no,铜斑蛇速射,force,yes
Cradle,摇篮,1,1,strong,1,yes,no,摇篮,force,yes
Cradle Evolution system,摇篮进化系统,1,1,strong,1,yes,no,摇篮进化系统,force,yes
Customization,自定义,1,1,h3,1,yes,no,自定义,force,yes
CyberAcme Commendations,赛博艾克米嘉奖,1,1,strong,1,yes,no,赛博艾克米嘉奖,force,yes
D54 Battle Pistol,D54战斗手枪,1,1,strong,1,yes,no,D54战斗手枪,force,yes
Darksight Scopes,暗视瞄准镜,1,1,strong,1,yes,no,暗视瞄准镜,force,yes
DEATH IS THE FIRST STEP,死亡是第一步,1,1,strong,1,yes,no,死亡是第一步,force,yes
Dedicated Server Networking,专用服务器网络,1,1,h3,1,yes,no,专用服务器网络,force,yes
Defender System (Prime Ability):,防御系统（主要技能）：,1,1,strong,1,yes,no,防御系统（主要技能）：,force,yes
Deluxe Arrival Cache (Blue),豪华欢迎储藏箱（蓝）,1,1,strong,1,yes,no,豪华欢迎储藏箱（蓝）,force,yes
Destroyer,毁灭者,1,1,h3,1,yes,no,毁灭者,force,yes
Dire Marsh (Day and Night),恐怖沼泽（白天和夜间）,1,1,strong,1,yes,no,恐怖沼泽（白天和夜间）,force,yes
Dire Marsh (Day),恐怖沼泽（白天）,1,1,strong,1,yes,no,恐怖沼泽（白天）,force,yes
Drum Mag,鼓式弹匣,1,1,strong,1,yes,no,鼓式弹匣,force,yes
Duelist Lens (Thermals),决斗者镜片（热成像）,1,1,strong,1,yes,no,决斗者镜片（热成像）,force,yes
Dynamo,动力核,1,1,strong,1,yes,no,动力核,force,yes
Echo Pulse,回声脉冲,1,1,strong,1,yes,no,回声脉冲,force,yes
Economic Security,经济安全,1,1,h3,1,yes,no,经济安全,force,yes
Eminent Domain,征用权,1,1,strong,1,yes,no,征用权,force,yes
Eminent Domain (Prestige):,征用权（尊享）：,1,1,strong,1,yes,no,征用权（尊享）：,force,yes
Enhanced Arrival Cache (Green),强化欢迎储藏箱（绿）,1,1,strong,1,yes,no,强化欢迎储藏箱（绿）,force,yes
Evasive Maneuvers,机动规避：,1,1,strong,1,yes,no,机动规避：,force,yes
Exceptions: LUX and SILK,例外：奢享币和SILK,1,1,strong,1,yes,no,例外：奢享币和SILK,force,yes
EXFIL,撤离,1,1,strong,1,yes,no,撤离,force,yes
Extra Mag,增容弹匣,1,1,strong,1,yes,no,增容弹匣,force,yes
Eyes On Fire,火眼金睛,1,1,strong,1,yes,no,火眼金睛,force,yes
FACTIONS & CONTRACTS,阵营与合约,1,1,strong,1,yes,no,阵营与合约,force,yes
Factions and progression,阵营与进度,1,1,strong,1,yes,no,阵营与进度,force,yes
Far Reach Optic (Rangefinder),远程瞄具（测距仪）,1,1,strong,1,yes,no,远程瞄具（测距仪）,force,yes
Fastload Mag,速填弹匣,1,1,strong,1,yes,no,速填弹匣,force,yes
Feather Mag,羽毛弹匣,1,1,strong,1,yes,no,羽毛弹匣,force,yes
FIRST STEPS,第一步,1,1,strong,1,yes,no,第一步,force,yes
Flashlights,手电,1,1,strong,1,yes,no,手电,force,yes
Frag Grenade,破片手雷,1,1,strong,1,yes,no,破片手雷,force,yes
Frost Mine,冰霜地雷,1,1,strong,1,yes,no,冰霜地雷,force,yes
Full-Auto Selector Prestige Mod,全自动切换器尊享模组,1,1,strong,1,yes,no,全自动切换器尊享模组,force,yes
Gift 1 sub:,赠送订阅：,1,1,strong,1,yes,no,赠送订阅：,force,yes
Gold III,黄金III,1,1,strong,1,yes,no,黄金III,force,yes
Head,头盔,1,1,strong,1,yes,no,头盔,force,yes
Heat Grenade,热量手雷,1,1,strong,1,yes,no,热量手雷,force,yes
Hi-Cap Chamber,高容弹膛,1,1,strong,1,yes,no,高容弹膛,force,yes
Hi-Cap Heat Sink,高容散热器,1,1,strong,1,yes,no,高容散热器,force,yes
Hi-Cap Mag,高容弹匣,1,1,strong,1,yes,no,高容弹匣,force,yes
Hi-Speed Mag,高速弹匣,1,1,strong,1,yes,no,高速弹匣,force,yes
Hi-Velocity Payload,高速弹头,1,1,strong,1,yes,no,高速弹头,force,yes
Hi-Zoom Optic,高缩放瞄具,1,1,strong,1,yes,no,高缩放瞄具,force,yes
Hollow-Case Rounds,空心子弹,1,1,strong,1,yes,no,空心子弹,force,yes
Immune Response,免疫反应,1,1,strong,1,yes,no,免疫反应,force,yes
Impact HAR,冲击重型突击步枪,1,1,strong,1,yes,no,冲击重型突击步枪,force,yes
Insurance Plan,保险计划,1,1,strong,1,yes,no,保险计划,force,yes
Introduction to Marathon’s four zones (maps),马拉松的四个区域（地图）介绍,1,1,strong,1,yes,no,马拉松的四个区域（地图）介绍,force,yes
Key Template Changes,钥匙模板机制调整,1,1,strong,1,yes,no,钥匙模板机制调整,force,yes
Keyboard Warrior,键盘战士,1,1,strong,1,yes,no,键盘战士,force,yes
Kills,档案徽标,1,1,strong,1,yes,no,档案徽标,force,yes
LMG,轻机枪,1,1,strong,1,yes,no,轻机枪,force,yes
LMG (Belts),轻机枪（弹链）,1,1,strong,1,yes,no,轻机枪（弹链）,force,yes
Long Scope (Rangefinder),远程瞄准镜（测距仪）,1,1,strong,1,yes,no,远程瞄准镜（测距仪）,force,yes
Lower,较低,1,1,strong,1,yes,no,较低,force,yes
Magazines,弹匣,1,1,h3,1,yes,no,弹匣,force,yes
Magnum MC,马格南巨级,1,1,strong,1,yes,no,马格南巨级,force,yes
Map Events,地图活动,1,1,h3,1,yes,no,地图活动,force,yes
Marathon,《失落星船：马拉松》,1,1,strong,1,yes,no,《失落星船：马拉松》,force,yes
Marathon Development Team,《失落星船：马拉松》开发团队,1,1,strong,1,yes,no,《失落星船：马拉松》开发团队,force,yes
Matchmaking,匹配,1,1,h3,1,yes,no,匹配,force,yes
Med-Drone,医疗无人机,1,1,strong,1,yes,no,医疗无人机,force,yes
Mega Belt,巨型弹链,1,1,strong,1,yes,no,巨型弹链,force,yes
Mega Drive,巨型驱动,1,1,strong,1,yes,no,巨型驱动,force,yes
Menu Navigation,菜单导航,1,1,h3,1,yes,no,菜单导航,force,yes
MidSight Optic,中距瞄具,1,1,strong,1,yes,no,中距瞄具,force,yes
Mini Jammer,迷你干扰器,1,1,strong,1,yes,no,迷你干扰器,force,yes
MIPS Slug Converter Prestige mod,MIPS子弹转换器尊享模组,1,1,strong,1,yes,no,MIPS子弹转换器尊享模组,force,yes
Neuro-Optic Lens (Variable Zoom),视神经镜片（可变倍率瞄具）,1,1,strong,1,yes,no,视神经镜片（可变倍率瞄具）,force,yes
Night Marsh:,夜间沼泽：,1,1,strong,1,yes,no,夜间沼泽：,force,yes
noculation Kit,接种套组,1,1,strong,1,yes,no,接种套组,force,yes
Notorious Company,恶名团伙,1,1,strong,1,yes,no,恶名团伙,force,yes
Null-Grav Chamber,零重力弹膛,1,1,strong,1,yes,no,零重力弹膛,force,yes
Optic 1.4x,瞄具1.4x,1,1,strong,1,yes,no,瞄具1.4x,force,yes
Optics,瞄准镜,1,1,h3,1,yes,no,瞄准镜,force,yes
Optimal Prime,最优主导,1,1,strong,1,yes,no,最优主导,force,yes
Oracle Lens,神谕镜片,1,1,strong,1,yes,no,神谕镜片,force,yes
Overview,概览,1,1,h3,1,yes,no,概览,force,yes
Pickpocket Drone,窃贼无人机,1,1,strong,1,yes,no,窃贼无人机,force,yes
Pings,标记,1,1,strong,1,yes,no,标记,force,yes
Prey Tracker (Trait Ability):,猎物追踪器（特性技能）：,1,1,strong,1,yes,no,猎物追踪器（特性技能）：,force,yes
Priority Contracts,北京时间3月12日周四下午4点,1,1,strong,1,yes,no,北京时间3月12日周四下午4点,force,yes
Profile Background,档案背景,1,1,strong,1,yes,no,档案背景,force,yes
Profile Emblem,档案徽标,1,1,strong,1,yes,no,档案徽标,force,yes
Railgun (Payload),电磁炮（弹头）,1,1,strong,1,yes,no,电磁炮（弹头）,force,yes
Railguns,电磁炮,1,1,strong,1,yes,no,电磁炮,force,yes
Rangefinder Lens (Rangefinder),测距仪透镜（测距仪）,1,1,strong,1,yes,no,测距仪透镜（测距仪）,force,yes
Rangefinder Optic (Rangefinder),测距仪瞄具（测距仪）,1,1,strong,1,yes,no,测距仪瞄具（测距仪）,force,yes
Rangefinder Optic 1.3x (Rangefinder),测距仪瞄具1.3x（测距仪）,1,1,strong,1,yes,no,测距仪瞄具1.3x（测距仪）,force,yes
Ranked,排名模式,1,1,strong,1,yes,no,排名模式,force,yes
Rarities and Chips,稀有度与芯片,1,1,strong,1,yes,no,稀有度与芯片,force,yes
Recon,侦察,1,1,h3,1,yes,no,侦察,force,yes
Reloader Mag,填装者弹匣,1,1,strong,1,yes,no,填装者弹匣,force,yes
Renaissance Runner,复兴疾行者,1,1,strong,1,yes,no,复兴疾行者,force,yes
Reversal,逆转回春,1,1,strong,1,yes,no,逆转回春,force,yes
Reversal (Enhanced):,逆转回春（强化）：,1,1,strong,1,yes,no,逆转回春（强化）：,force,yes
Reverse Card,反转卡,1,1,strong,1,yes,no,反转卡,force,yes
Riot Barricade,防暴路障,1,1,strong,1,yes,no,防暴路障,force,yes
Rook Update,鲁克调整更新,1,1,strong,1,yes,no,鲁克调整更新,force,yes
Rorschach Test,墨迹测试,1,1,strong,1,yes,no,墨迹测试,force,yes
Runner Shell – Assassin,疾行者外壳 – 刺客,1,1,strong,1,yes,no,疾行者外壳 – 刺客,force,yes
Runner Shell – Destroyer,疾行者外壳 – 毁灭者,1,1,strong,1,yes,no,疾行者外壳 – 毁灭者,force,yes
Runner Shell – Recon,疾行者外壳 – 侦察,1,1,strong,1,yes,no,疾行者外壳 – 侦察,force,yes
Runner Shell – Thief,疾行者外壳 – 盗贼,1,1,strong,1,yes,no,疾行者外壳 – 盗贼,force,yes
Runner Shell – Triage,疾行者外壳 – 救援,1,1,strong,1,yes,no,疾行者外壳 – 救援,force,yes
Runner Shell – Vandal,疾行者外壳 – 暴徒,1,1,strong,1,yes,no,疾行者外壳 – 暴徒,force,yes
Runner shells,疾行者外壳,1,1,strong,1,yes,no,疾行者外壳,force,yes
Scavenger Mode – Rook,拾荒者模式 – 鲁克,1,1,strong,1,yes,no,拾荒者模式 – 鲁克,force,yes
Scrapyard,废料场,1,1,strong,1,yes,no,废料场,force,yes
Scrapyard Chip,废料场芯片,1,1,strong,1,yes,no,废料场芯片,force,yes
See Ya,告别,1,1,strong,1,yes,no,告别,force,yes
Sentinel,哨兵,1,1,strong,1,yes,no,哨兵,force,yes
Shortwave Scout Optic (Thermals),短波侦察瞄具（热成像）,1,1,strong,1,yes,no,短波侦察瞄具（热成像）,force,yes
Shotgun,霰弹枪,1,1,strong,1,yes,no,霰弹枪,force,yes
Shotguns,霰弹枪,1,1,h3,1,yes,no,霰弹枪,force,yes
Signal Jammer,信号干扰器,1,1,strong,1,yes,no,信号干扰器,force,yes
Signal Mask,信号遮蔽,1,1,strong,1,yes,no,信号遮蔽,force,yes
Slick Mag,顺滑弹匣,1,1,strong,1,yes,no,顺滑弹匣,force,yes
SMGs,冲锋枪,1,1,strong,1,yes,no,冲锋枪,force,yes
Snare Mine (Tactical Ability):,陷阱地雷（战术技能）：,1,1,strong,1,yes,no,陷阱地雷（战术技能）：,force,yes
Snare Mines,陷阱地雷,1,1,strong,1,yes,no,陷阱地雷,force,yes
Sniper,狙击枪,1,1,strong,1,yes,no,狙击枪,force,yes
Snipers,狙击枪,1,1,strong,1,yes,no,狙击枪,force,yes
Social,社交,1,1,h3,1,yes,no,社交,force,yes
SP Scope (Thermal),狙击瞄准镜（热成像）,1,1,strong,1,yes,no,狙击瞄准镜（热成像）,force,yes
Splash Guard,溅射防护,1,1,strong,1,yes,no,溅射防护,force,yes
Stabilizing Mag,稳定弹匣,1,1,strong,1,yes,no,稳定弹匣,force,yes
Stack Overflow,堆叠溢出,1,1,strong,1,yes,no,堆叠溢出,force,yes
Standard Arrival Cache,标准欢迎储藏箱,1,1,strong,1,yes,no,标准欢迎储藏箱,force,yes
Stay Together,团结,1,1,strong,1,yes,no,团结,force,yes
Steady Mag,稳固弹匣,1,1,strong,1,yes,no,稳固弹匣,force,yes
Steady Rounds,稳固子弹,1,1,strong,1,yes,no,稳固子弹,force,yes
Submachine Guns,微型冲锋枪,1,1,h3,1,yes,no,微型冲锋枪,force,yes
SURVIVAL,生存,1,1,strong,1,yes,no,生存,force,yes
Tapered Heat Sink,锥形散热器,1,1,strong,1,yes,no,锥形散热器,force,yes
The Cradle:,摇篮：,1,1,strong,1,yes,no,摇篮：,force,yes
Thermal Optic (Thermals),热能瞄具（热成像）,1,1,strong,1,yes,no,热能瞄具（热成像）,force,yes
Thermal Scopes,热成像瞄准镜,1,1,strong,1,yes,no,热成像瞄准镜,force,yes
Thruster,推进器,1,1,strong,1,yes,no,推进器,force,yes
Torso,躯干,1,1,strong,1,yes,no,躯干,force,yes
Tox Injectors,毒素注射,1,1,strong,1,yes,no,毒素注射,force,yes
Tracker Drone,追踪无人机,1,1,strong,1,yes,no,追踪无人机,force,yes
Trailblazer Kit,开拓者套组,1,1,strong,1,yes,no,开拓者套组,force,yes
TRAVERSAL,移动,1,1,strong,1,yes,no,移动,force,yes
Traxus,特莱克斯,1,1,h3,1,yes,no,特莱克斯,force,yes
Triage,救援,1,1,h3,1,yes,no,救援,force,yes
Triage Cloaking Device,救援斗篷,1,1,strong,1,yes,no,救援斗篷,force,yes
Trigger Discipline,扳机纪律,1,1,strong,1,yes,no,扳机纪律,force,yes
Turbo Belt,涡轮弹链,1,1,strong,1,yes,no,涡轮弹链,force,yes
Turbo Chamber,涡轮弹膛,1,1,strong,1,yes,no,涡轮弹膛,force,yes
Turbo Drive,涡轮驱动,1,1,strong,1,yes,no,涡轮驱动,force,yes
Twin Tap,双击,1,1,strong,1,yes,no,双击,force,yes
TwinScope Optic (Variable),双镜瞄具（变体）,1,1,strong,1,yes,no,双镜瞄具（变体）,force,yes
Twitch Drop Rewards,Twitch掉落奖励,1,1,strong,1,yes,no,Twitch掉落奖励,force,yes
unique Codex rewards,独特的百科奖励,1,1,strong,1,yes,no,独特的百科奖励,force,yes
V22 Volt Thrower,V22伏特放射器,1,1,strong,1,yes,no,V22伏特放射器,force,yes
V66 Lookout,V66瞭望,1,1,strong,1,yes,no,V66瞭望,force,yes
V75 SCAR,V75 SCAR,1,1,strong,1,yes,no,V75 SCAR,preserve,yes
Vamprea,定制《失落星船：马拉松》夹克,1,1,strong,1,yes,no,定制《失落星船：马拉松》夹克,force,yes
Vandal,暴徒,1,1,h3,1,yes,no,暴徒,force,yes
Vault Breaker,破库者,1,1,strong,1,yes,no,破库者,force,yes
Vector Grenade,矢量手雷,1,1,strong,1,yes,no,矢量手雷,force,yes
Vector Rounds,矢量弹,1,1,strong,1,yes,no,矢量弹,force,yes
Vigilant Lens,警戒镜片,1,1,strong,1,yes,no,警戒镜片,force,yes
Volt Array (Volt Battery Ammo),伏特阵列（伏特电池弹药）,1,1,strong,1,yes,no,伏特阵列（伏特电池弹药）,force,yes
Volt Cell (Fusion Ammo),伏特电芯（融合弹药）,1,1,strong,1,yes,no,伏特电芯（融合弹药）,force,yes
Watch for 1 hour,观看1小时,1,1,strong,1,yes,no,观看1小时,force,yes
Watch for 15 minutes:,观看15分钟：,1,1,strong,1,yes,no,观看15分钟：,force,yes
Watch for 2 hours,观看2小时,1,1,strong,1,yes,no,观看2小时,force,yes
Watch for 3 hours,观看3小时,1,1,strong,1,yes,no,观看3小时,force,yes
Watch for 30 minutes,观看30分钟,1,1,strong,1,yes,no,观看30分钟,force,yes
Weapon Ammo,武器弹药,1,1,strong,1,yes,no,武器弹药,force,yes
Weapon Rewards,武器奖励,1,1,strong,1,yes,no,武器奖励,force,yes
Weapon Skin,武器皮肤,1,1,strong,1,yes,no,武器皮肤,force,yes
Weapon Skin (Style):,武器皮肤（风格）：,1,1,strong,1,yes,no,武器皮肤（风格）：,force,yes
Weapon Sticker,武器贴纸,1,1,strong,1,yes,no,武器贴纸,force,yes
Wellness Beacon,健康信标,1,1,strong,1,yes,no,健康信标,force,yes
Wellness Beacon (Deluxe):,健康信标（豪华）：,1,1,strong,1,yes,no,健康信标（豪华）：,force,yes
– Alarmist (all rarities),——警报主义者（所有稀有度）,1,1,strong,1,yes,no,——警报主义者（所有稀有度）,force,yes
– Brain Freeze (Superior rarity only),——思维冻结（仅限卓越稀有度）,1,1,strong,1,yes,no,——思维冻结（仅限卓越稀有度）,force,yes
– Buffer Overflow (all rarities),——缓存溢出（所有稀有度）,1,1,strong,1,yes,no,——缓存溢出（所有稀有度）,force,yes
– D54 Battle Pistol,——D54战斗手枪,1,1,strong,1,yes,no,——D54战斗手枪,force,yes
– Exterminator (all rarities),——灭绝者（所有稀有度）,1,1,strong,1,yes,no,——灭绝者（所有稀有度）,force,yes
– Ghillie Suit (all rarities),——吉利服（所有稀有度）,1,1,strong,1,yes,no,——吉利服（所有稀有度）,force,yes
– KKV-9SD,——KKV-9SD,1,1,strong,1,yes,no,——KKV-9SD,force,yes
– Refocuser (all rarities),——重新聚焦（所有稀有度）,1,1,strong,1,yes,no,——重新聚焦（所有稀有度）,force,yes
– Scrapyard (all rarities),——废料场（所有稀有度）,1,1,strong,1,yes,no,——废料场（所有稀有度）,force,yes
